i,j,x,y,p,w,q
3,9,0.078431,0.196078,1.078617,1.004614,0.000068
3,10,0.078431,0.215686,1.050605,1.005075,0.000121
3,11,0.078431,0.235294,1.021826,1.005536,0.000208
3,12,0.078431,0.254902,0.992716,1.005998,0.000343
3,13,0.078431,0.274510,0.963716,1.006459,0.000544
3,14,0.078431,0.294118,0.935266,1.006920,0.000831
3,15,0.078431,0.313725,0.907797,1.007382,0.001220
3,16,0.078431,0.333333,0.881727,1.007843,0.001724
3,17,0.078431,0.352941,0.857449,1.008304,0.002345
3,18,0.078431,0.372549,0.835332,1.008766,0.003070
3,19,0.078431,0.392157,0.815711,1.009227,0.003866
3,20,0.078431,0.411765,0.798884,1.009689,0.004686
3,21,0.078431,0.431373,0.785105,1.010150,0.005465
3,22,0.078431,0.450980,0.774585,1.010611,0.006133
3,23,0.078431,0.470588,0.767481,1.011073,0.006623
3,24,0.078431,0.490196,0.763902,1.011534,0.006882
3,25,0.078431,0.509804,0.763902,1.011995,0.006882
3,26,0.078431,0.529412,0.767481,1.012457,0.006623
3,27,0.078431,0.549020,0.774585,1.012918,0.006133
3,28,0.078431,0.568627,0.785105,1.013379,0.005465
3,29,0.078431,0.588235,0.798884,1.013841,0.004686
3,30,0.078431,0.607843,0.815711,1.014302,0.003866
3,31,0.078431,0.627451,0.835332,1.014764,0.003070
3,32,0.078431,0.647059,0.857449,1.015225,0.002345
3,33,0.078431,0.666667,0.881727,1.015686,0.001724
3,34,0.078431,0.686275,0.907797,1.016148,0.001220
3,35,0.078431,0.705882,0.935266,1.016609,0.000831
3,36,0.078431,0.725490,0.963716,1.017070,0.000544
3,37,0.078431,0.745098,0.992716,1.017532,0.000343
3,38,0.078431,0.764706,1.021826,1.017993,0.000208
3,39,0.078431,0.784314,1.050605,1.018454,0.000121
3,40,0.078431,0.803922,1.078617,1.018916,0.000068
3,41,0.078431,0.823529,1.105438,1.019377,0.000037
3,42,0.078431,0.843137,1.130660,1.019839,0.000019
3,43,0.078431,0.862745,1.153902,1.020300,0.000010
3,44,0.078431,0.882353,1.174810,1.020761,0.000005
3,45,0.078431,0.901961,1.193069,1.021223,0.000002
3,46,0.078431,0.921569,1.208401,1.021684,0.000001
3,47,0.078431,0.941176,1.220573,1.022145,0.000000
3,48,0.078431,0.960784,1.229402,1.022607,0.000000
3,49,0.078431,0.980392,1.234754,1.023068,0.000000
4,0,0.098039,0.019608,1.286697,1.000577,0.000000
4,1,0.098039,0.039216,1.280162,1.001153,0.000000
