row,col,value
488,488,1.044983e+00
489,489,1.046136e+00
490,490,1.047290e+00
491,491,1.048443e+00
492,492,1.049596e+00
493,493,1.050750e+00
494,494,1.051903e+00
495,495,1.053057e+00
496,496,1.054210e+00
497,497,1.055363e+00
498,498,1.056517e+00
499,499,1.057670e+00
500,500,1.001269e+00
501,501,1.002537e+00
502,502,1.003806e+00
503,503,1.005075e+00
504,504,1.006344e+00
505,505,1.007612e+00
506,506,1.008881e+00
507,507,1.010150e+00
508,508,1.011419e+00
509,509,1.012687e+00
510,510,1.013956e+00
511,511,1.015225e+00
512,512,1.016494e+00
513,513,1.017762e+00
514,514,1.019031e+00
515,515,1.020300e+00
516,516,1.021569e+00
517,517,1.022837e+00
518,518,1.024106e+00
519,519,1.025375e+00
520,520,1.026644e+00
521,521,1.027912e+00
522,522,1.029181e+00
523,523,1.030450e+00
524,524,1.031719e+00
525,525,1.032987e+00
526,526,1.034256e+00
527,527,1.035525e+00
528,528,1.036794e+00
529,529,1.038062e+00
530,530,1.039331e+00
531,531,1.040600e+00
532,532,1.041869e+00
533,533,1.043137e+00
534,534,1.044406e+00
535,535,1.045675e+00
536,536,1.046943e+00
537,537,1.048212e+00
538,538,1.049481e+00
539,539,1.050750e+00
540,540,1.052018e+00
541,541,1.053287e+00
542,542,1.054556e+00
543,543,1.055825e+00
544,544,1.057093e+00
545,545,1.058362e+00
546,546,1.059631e+00
547,547,1.060900e+00
548,548,1.062168e+00
549,549,1.063437e+00
550,550,1.001384e+00
551,551,1.002768e+00
552,552,1.004152e+00
553,553,1.005536e+00
554,554,1.006920e+00
555,555,1.008304e+00
556,556,1.009689e+00
557,557,1.011073e+00
558,558,1.012457e+00
559,559,1.013841e+00
560,560,1.015225e+00
561,561,1.016609e+00
562,562,1.017993e+00
563,563,1.019377e+00
564,564,1.020761e+00
565,565,1.022145e+00
566,566,1.023529e+00
567,567,1.024913e+00
568,568,1.026298e+00
569,569,1.027682e+00
570,570,1.029066e+00
571,571,1.030450e+00
572,572,1.031834e+00
573,573,1.033218e+00
574,574,1.034602e+00
575,575,1.035986e+00
576,576,1.037370e+00
577,577,1.038754e+00
578,578,1.040138e+00
579,579,1.041522e+00
580,580,1.042907e+00
581,581,1.044291e+00
582,582,1.045675e+00
583,583,1.047059e+00
584,584,1.048443e+00
585,585,1.049827e+00
586,586,1.051211e+00
587,587,1.052595e+00
588,588,1.053979e+00
589,589,1.055363e+00
590,590,1.056747e+00
591,591,1.058131e+00
592,592,1.059516e+00
593,593,1.060900e+00
594,594,1.062284e+00
595,595,1.063668e+00
596,596,1.065052e+00
597,597,1.066436e+00
598,598,1.067820e+00
599,599,1.069204e+00
600,600,1.001499e+00
601,601,1.002999e+00
602,602,1.004498e+00
603,603,1.005998e+00
604,604,1.007497e+00
605,605,1.008997e+00
606,606,1.010496e+00
607,607,1.011995e+00
608,608,1.013495e+00
609,609,1.014994e+00
610,610,1.016494e+00
611,611,1.017993e+00
612,612,1.019493e+00
613,613,1.020992e+00
614,614,1.022491e+00
615,615,1.023991e+00
616,616,1.025490e+00
617,617,1.026990e+00
618,618,1.028489e+00
619,619,1.029988e+00
620,620,1.031488e+00
621,621,1.032987e+00
622,622,1.034487e+00
623,623,1.035986e+00
624,624,1.037486e+00
625,625,1.038985e+00
626,626,1.040484e+00
627,627,1.041984e+00
628,628,1.043483e+00
629,629,1.044983e+00
630,630,1.046482e+00
631,631,1.047982e+00
632,632,1.049481e+00
633,633,1.050980e+00
634,634,1.052480e+00
635,635,1.053979e+00
636,636,1.055479e+00
637,637,1.056978e+00
638,638,1.058478e+00
639,639,1.059977e+00
640,640,1.061476e+00
641,641,1.062976e+00
642,642,1.064475e+00
643,643,1.065975e+00
644,644,1.067474e+00
645,645,1.068973e+00
646,646,1.070473e+00
647,647,1.071972e+00
648,648,1.073472e+00
649,649,1.074971e+00
650,650,1.001615e+00
651,651,1.003230e+00
652,652,1.004844e+00
